qid,split,y,last_ent_tail_vec,last_lp_tail_vec
tqa:0df9085cf1aa,train,1,"[4.671261787414551, 2.4659132957458496, 3.828517436981201, 0.004995325114578009, 2.606898784637451, 4.512019157409668, 5.267650604248047, 6.7021484375, 2.329460620880127, 1.4715566635131836, 0.0645773708820343, 1.00652277469635, 0.19681847095489502, 0.0007130651501938701, 0.00010938788909697905, 1.3104395866394043, 1.8118751049041748, 0.6970057487487793, 0.20041058957576752, 0.003368593053892255, 1.9617795944213867, 2.83156418800354, 1.4745073318481445, 5.811610698699951, 0.6829197406768799, 0.13304463028907776, 0.00786639004945755, 1.286813497543335, 0.08976265043020248, 0.0014079171232879162, 0.0005922360578551888, 3.174370050430298]","[-1.5188028812408447, -0.9816117286682129, -1.6551121473312378, -0.000552263343706727, -0.9848738312721252, -1.156746745109558, -1.1318273544311523, -2.821560859680176, -0.9920902252197266, -0.5324555039405823, -0.007378824986517429, -0.6130430698394775, -0.029324494302272797, -5.018585216021165e-05, -7.033323527139146e-06, -1.9752600193023682, -0.35632625222206116, -0.1567704677581787, -0.020440058782696724, -0.0003303935518488288, -0.508086085319519, -0.8612171411514282, -0.20239293575286865, -2.1097748279571533, -0.12353112548589706, -0.01895071752369404, -0.0007254829397425056, -0.722847044467926, -0.01590353436768055, -0.0001062098381225951, -4.5298504119273275e-05, -1.2626864910125732]"
tqa:77d28dc8e35b,train,1,"[2.511061191558838, 0.0065915691666305065, 1.4078052043914795, 1.7189958095550537, 0.285567045211792, 0.08170633018016815, 0.9464961290359497, 0.7281434535980225, 0.7226254940032959, 0.0017547830939292908, 0.010822398588061333, 0.6213018894195557, 0.05979068577289581, 0.00021404675499070436, 0.013200292363762856, 0.0015942130703479052, 0.0008556648390367627, 0.06472516059875488, 0.2643679678440094, 0.6747692227363586, 2.4797403812408447, 0.08366407454013824, 1.2166950702667236, 0.002091265982016921, 0.12082979828119278, 0.003462201915681362, 7.681340503040701e-05, 0.0002941233105957508, 0.0004727118066512048, 0.0001299616415053606, 9.1554582468234e-05, 1.2268855243746657e-05]","[-0.5510406494140625, -0.0006780709372833371, -0.5919318795204163, -0.7015930414199829, -0.045040491968393326, -0.014332329854369164, -0.4576043486595154, -0.588019609451294, -0.689551591873169, -0.00014828535495325923, -0.0011962646385654807, -0.24216009676456451, -0.008062792010605335, -1.5735502529423684e-05, -0.0015979153104126453, -0.00014423283573705703, -6.663577369181439e-05, -0.01043199934065342, -0.07423043996095657, -0.37143614888191223, -1.2588934898376465, -0.009774561040103436, -0.9203510284423828, -0.00018952481332235038, -0.023149237036705017, -0.0003064401389565319, -5.006777428206988e-06, -2.3245540432981215e-05, -3.671578815556131e-05, -8.702239938429557e-06, -6.9141146923357155e-06, -7.152555099310121e-07]"
tqa:9c7dbf5080dd,train,0,"[3.0836381912231445, 1.593971848487854, 0.017311718314886093, 0.034080687910318375, 1.7386244535446167, 0.6152762770652771, 0.870496392250061, 0.30593475699424744, 0.0030193182174116373, 1.246291160583496, 0.6304764747619629, 0.0006786917801946402, 0.109247125685215, 0.001877511735074222, 0.02266891859471798, 0.015134396962821484, 0.001202278072014451, 0.602207601070404, 1.0605467557907104, 0.3965618312358856, 0.00039519614074379206, 0.18768559396266937, 0.1617087721824646, 0.22250866889953613, 0.08027303218841553, 1.1535841226577759, 0.0004707819316536188, 0.04806368052959442, 0.09170998632907867, 0.7681201696395874, 0.08574729412794113, 0.5794857740402222]","[-1.694461703300476, -0.9988024234771729, -0.002291317330673337, -0.004641829524189234, -0.7519867420196533, -0.2903386056423187, -0.22327496111392975, -0.06604573130607605, -0.00026794656878337264, -0.40296223759651184, -0.1882203221321106, -5.030505417380482e-05, -0.014519980177283287, -0.00016258825780823827, -0.0029435898177325726, -0.001883281976915896, -9.786603914108127e-05, -0.1596650630235672, -1.2119072675704956, -0.1261773407459259, -3.0874729418428615e-05, -0.037281300872564316, -0.030723800882697105, -0.04284380003809929, -0.014893061481416225, -0.8005340099334717, -3.40932747349143e-05, -0.007983914576470852, -0.013883094303309917, -0.8509972095489502, -0.014378628693521023, -0.1476300060749054]"
tqa:a5bb53a04be1,train,1,"[2.4170916080474854, 0.026265181601047516, 1.7589434385299683, 1.6068439483642578, 0.0024287255946546793, 1.2597630023956299, 3.82668137550354, 0.38754403591156006, 3.0741701126098633, 0.068118155002594, 0.4024426341056824, 1.1291732788085938, 1.4007606506347656, 0.16411159932613373, 0.030788006260991096, 0.0060946885496377945, 0.9606350064277649, 0.006167806684970856, 0.004940051585435867, 0.21517404913902283, 0.010067478753626347, 0.0002945951418951154, 0.27666279673576355, 0.018574494868516922, 0.001906336285173893, 0.0006607969990000129, 0.5550333261489868, 0.026240449398756027, 0.0005710875848308206, 1.2551499605178833, 1.7271616458892822, 0.08279097825288773]","[-0.558702290058136, -0.003468214301392436, -1.2672818899154663, -0.2505784332752228, -0.00024589852546341717, -1.2672412395477295, -1.7687621116638184, -0.06825512647628784, -1.8013263940811157, -0.0090705007314682, -0.08072420209646225, -0.25363680720329285, -0.8594927787780762, -0.03222861886024475, -0.0032736065331846476, -0.0006216024048626423, -0.2910667657852173, -0.0005984899471513927, -0.0005017452058382332, -0.04306088760495186, -0.0011393491877242923, -2.0503786799963564e-05, -2.5650298595428467, -0.0021519139409065247, -0.0001754606782924384, -5.447716102935374e-05, -0.1277044266462326, -0.0022952421568334103, -5.030505417380482e-05, -0.7834406495094299, -0.3143270015716553, -0.011961753480136395]"
tqa:f3e4c233fde6,test,1,"[3.708179473876953, 4.570633888244629, 0.046765003353357315, 1.2916169166564941, 0.8429971933364868, 0.8204944133758545, 0.06311152130365372, 0.4050617516040802, 0.22597596049308777, 2.0715365409851074, 0.45345598459243774, 2.090345621109009, 1.0345417261123657, 0.7051389813423157, 1.4280619621276855, 0.5470219850540161, 0.5584737062454224, 1.781846046447754, 0.05031974986195564, 0.21698333323001862, 0.2291715443134308, 1.0149608850479126, 0.07150594145059586, 0.32155218720436096, 0.007768711540848017, 0.9101483821868896, 3.142639636993408, 0.002134264912456274, 0.966922402381897, 3.599395751953125, 0.3780950903892517, 3.074864149093628]","[-0.6542915105819702, -1.9629846811294556, -0.004916838835924864, -0.5713725090026855, -0.18897710740566254, -0.1768151819705963, -0.011476805433630943, -0.0906687080860138, -0.0323958620429039, -1.4683879613876343, -0.09795887768268585, -1.3556045293807983, -0.8551754951477051, -0.19474969804286957, -0.5730662941932678, -0.1331086903810501, -0.14091861248016357, -0.7001678943634033, -0.006530136335641146, -0.05576558783650398, -0.05594246834516525, -0.3301587700843811, -0.01353939063847065, -0.05955548584461212, -0.0007775382255204022, -2.5566718578338623, -0.7005951404571533, -0.0002115741081070155, -0.4323367178440094, -2.298981189727783, -0.07507745921611786, -2.110553741455078]"
tqa:120a6ee055bb,train,0,"[4.927333831787109, 0.06063062697649002, 3.368346691131592, 0.23766040802001953, 1.0720598697662354, 3.049755096435547, 0.12788629531860352, 0.63264399766922, 2.1830856800079346, 0.6363021731376648, 0.7010902166366577, 0.00719899358227849, 0.023881377652287483, 0.786932647228241, 0.016209909692406654, 0.019254237413406372, 0.004568962380290031, 0.008243425749242306, 0.141106516122818, 0.0012445917818695307, 0.005294705741107464, 0.016730209812521935, 2.0603115558624268, 0.8527219891548157, 0.3296365737915039, 1.2450475692749023, 2.4609334468841553, 0.8892626762390137, 1.9735928773880005, 2.151913642883301, 0.9222293496131897, 0.6972189545631409]","[-2.2121644020080566, -0.00842386856675148, -1.5002492666244507, -0.04282586649060249, -0.27627095580101013, -1.914009928703308, -0.015333038754761219, -0.1733262538909912, -2.0832784175872803, -0.22678035497665405, -0.1411150097846985, -0.0007130940794013441, -0.0023415072355419397, -0.20958705246448517, -0.00167598866391927, -0.002526664873585105, -0.00043072958942502737, -0.000824349990580231, -0.031224695965647697, -0.00010549465514486656, -0.00046492734691128135, -0.0018418743275105953, -1.22872793674469, -0.49160510301589966, -0.09158654510974884, -0.5544793605804443, -1.2380260229110718, -0.28215599060058594, -1.1622390747070312, -1.5935580730438232, -0.7276999354362488, -0.19554764032363892]"
tqa:185448b15e76,val,1,"[4.7103071212768555, 0.021762387827038765, 1.254058599472046, 0.2049470841884613, 0.32709449529647827, 1.1575713157653809, 0.007328682113438845, 0.00154431804548949, 0.686789333820343, 0.005498856771737337, 0.0010171342873945832, 0.01340034045279026, 0.0016394790727645159, 0.00036553735844790936, 0.09912441670894623, 1.9976534843444824, 1.2044141292572021, 0.9291349649429321, 0.13874205946922302, 0.15409310162067413, 0.005009779240936041, 0.1565079241991043, 0.3976578116416931, 1.1027090549468994, 1.0365395545959473, 0.8671050071716309, 0.0029489349108189344, 1.5158573389053345, 0.08133380115032196, 0.949954628944397, 0.09654591977596283, 0.007992922328412533]","[-3.2329189777374268, -0.002441046992316842, -0.594488799571991, -0.038461461663246155, -0.05195629596710205, -0.3880457580089569, -0.0008467426523566246, -0.00011598391574807465, -0.8995523452758789, -0.000595034915022552, -8.856858039507642e-05, -0.001629097736440599, -0.00014840454969089478, -2.706014311115723e-05, -0.018563583493232727, -0.7273985147476196, -1.1143467426300049, -0.45862388610839844, -0.02090480364859104, -0.027911867946386337, -0.00047255316167138517, -0.02866685390472412, -0.13673917949199677, -0.6764394640922546, -0.9914115071296692, -0.3497682511806488, -0.00026222606538794935, -0.3110712766647339, -0.014938512817025185, -1.1750632524490356, -0.012360282242298126, -0.0007950482540763915]"
tqa:3c228f64fc8c,train,1,"[4.686729431152344, 0.08457130193710327, 2.080827236175537, 4.207798004150391, 0.004528192337602377, 1.3641778230667114, 0.8329632878303528, 1.6860325336456299, 1.9752519130706787, 2.610708236694336, 0.09962303191423416, 0.33649691939353943, 0.11987175047397614, 0.010411043651401997, 1.2922379970550537, 0.06381937861442566, 0.0028647705912590027, 0.44669175148010254, 2.4920592308044434, 0.9168496131896973, 0.7173899412155151, 1.6530098915100098, 0.050409965217113495, 1.8165364265441895, 1.4670450687408447, 3.7602827548980713, 0.003690009703859687, 1.2148135900497437, 0.5268588066101074, 0.8179096579551697, 1.088303565979004, 1.8852332830429077]","[-1.6203343868255615, -0.009621438570320606, -1.6601834297180176, -1.2617524862289429, -0.0004804172203876078, -0.46648967266082764, -0.1681443452835083, -0.4596339166164398, -0.6084609031677246, -0.8272520303726196, -0.015477189794182777, -0.054862670600414276, -0.0215165838599205, -0.0010224120924249291, -1.722388505935669, -0.006136741489171982, -0.00025459862081333995, -0.07777446508407593, -1.0842969417572021, -0.337507963180542, -0.15869230031967163, -0.4304805397987366, -0.007642554119229317, -1.1308671236038208, -2.9268245697021484, -1.3873907327651978, -0.0003641180810518563, -0.35498300194740295, -0.09637092798948288, -0.17242932319641113, -0.3071788251399994, -0.3894389867782593]"
tqa:500b76f518c3,train,0,"[3.3266186714172363, 1.0023216009140015, 0.002152050379663706, 0.0013898233883082867, 0.019879985600709915, 0.9482908248901367, 0.15526708960533142, 1.2891557216644287, 2.396334171295166, 0.009598379954695702, 1.1493940353393555, 0.6745778322219849, 0.8720743656158447, 0.5494347810745239, 0.0016753943637013435, 0.783905029296875, 0.004677911754697561, 0.006007115822285414, 0.01763065531849861, 0.5016355514526367, 2.2186789512634277, 0.06079787015914917, 0.05330492556095123, 2.319639205932617, 2.226348400115967, 0.0007591806352138519, 0.0004250642377883196, 0.13067296147346497, 1.772630214691162, 0.6720174551010132, 0.0010513847228139639, 0.07906012237071991]","[-1.0231794118881226, -0.17551107704639435, -0.00018070495571009815, -0.00012158608296886086, -0.0025484247598797083, -0.45453310012817383, -0.029831646010279655, -1.0885891914367676, -1.5469802618026733, -0.0011747133685275912, -0.7265655994415283, -0.36675986647605896, -0.7693706154823303, -0.25770413875579834, -0.00015484087634831667, -0.2739398777484894, -0.00042489083716645837, -0.0007015389273874462, -0.0017679788870736957, -0.15433670580387115, -0.7749680280685425, -0.011072029359638691, -0.005975122097879648, -1.163159966468811, -0.9213061332702637, -5.8887653722194955e-05, -3.0636318115284666e-05, -0.023204797878861427, -0.8936175107955933, -0.13699950277805328, -8.153582894010469e-05, -0.013629943132400513]"
tqa:c8e0a4581822,train,1,"[4.63649845123291, 0.0140923373401165, 1.813730239868164, 1.5485236644744873, 0.16859787702560425, 0.10141284763813019, 0.31863653659820557, 0.02713550254702568, 0.43555188179016113, 3.772296905517578, 1.8453868627548218, 0.7504621744155884, 0.052196912467479706, 0.15946558117866516, 0.5175876021385193, 0.010171378031373024, 0.0004764843615703285, 0.05044461414217949, 0.003972652833908796, 0.0023608068004250526, 0.09409884363412857, 3.61378812789917, 0.46543455123901367, 1.9607963562011719, 0.23834127187728882, 0.004485718905925751, 1.5998669862747192, 1.8563742637634277, 2.132533550262451, 1.2616441249847412, 0.43390634655952454, 1.3755550384521484]","[-2.5501935482025146, -0.0015489972429350019, -1.4151376485824585, -0.4153206944465637, -0.029959261417388916, -0.018689369782805443, -0.08985757827758789, -0.003911939915269613, -0.1679151952266693, -2.133843421936035, -0.549708902835846, -0.6562078595161438, -0.0070103867910802364, -0.026078876107931137, -0.19293244183063507, -0.0011968599865213037, -3.576214658096433e-05, -0.007011807058006525, -0.0004363300104159862, -0.000205018965061754, -0.01720292493700981, -2.0379879474639893, -0.1004018634557724, -0.9941855669021606, -2.9037506580352783, -0.0004555141495075077, -2.2942001819610596, -1.1029200553894043, -1.0498416423797607, -0.5375421047210693, -0.09019563347101212, -0.40802767872810364]"
